time,A2022,time,B2052,time,C2047,,,
89.4999,4.94467,89.4999,4.93268,89.4999,0.0672139,4.8654661,4.8781525,23.73448562
89.9999,4.94426,89.9999,4.93224,89.9999,0.068094,4.864146,4.8768441,23.72168172
90.4999,4.94354,90.4999,4.9315,90.4999,0.0686492,4.8628508,4.8756472,23.70954489
90.9999,4.94306,90.9999,4.93092,90.9999,0.06927,4.86165,4.8745231,23.69822523
91.4999,4.94247,91.4999,4.93027,91.4999,0.069874,4.860396,4.8733076,23.68620477
91.9999,4.94155,91.9999,4.92929,91.9999,0.0702907,4.8589993,4.8720336,23.67320785
92.5,4.94094,92.5,4.92867,92.5,0.0709241,4.8577459,4.8708163,23.66118791
93,4.94075,93,4.92837,93,0.0719753,4.8563947,4.8695656,23.64853257
93.4999,4.94004,93.4999,4.92757,93.4999,0.0724251,4.8551449,4.8683355,23.63647427
93.9999,4.93916,93.9999,4.92667,93.9999,0.072865,4.853805,4.8670448,23.62368639
94.4999,4.9391,94.4999,4.92649,94.4999,0.0740401,4.8524499,4.8657368,23.61074405
94.9999,4.93802,94.9999,4.92543,94.9999,0.0743025,4.8511275,4.8644767,23.59819669
95.4999,4.93752,95.4999,4.92485,95.4999,0.075123,4.849727,4.8631366,23.58488487
95.9999,4.93691,95.9999,4.92415,95.9999,0.0757802,4.8483698,4.8618624,23.57210683
96.4999,4.93611,96.4999,4.92322,96.4999,0.0762617,4.8469583,4.8605489,23.55887783
96.9999,4.93564,96.9999,4.92272,96.9999,0.0771344,4.8455856,4.8592642,23.54598063
97.5,4.93497,97.5,4.922,97.5,0.077853,4.844147,4.8578662,23.53221798
97.9999,4.93438,97.9999,4.92137,97.9999,0.0785967,4.8427733,4.8565998,23.51941184
98.5,4.93366,98.5,4.92052,98.5,0.0791488,4.8413712,4.8552622,23.50612658
99,4.93343,99,4.92023,99,0.0802385,4.8399915,4.8539157,23.49291073
99.4999,4.93246,99.4999,4.91924,99.4999,0.0806258,4.8386142,4.852623,23.47997056
99.9999,4.93176,99.9999,4.91855,99.9999,0.081258,4.837292,4.8513305,23.46730222
100.5,4.93134,100.5,4.91794,100.5,0.0820712,4.8358688,4.8500119,23.45402123
101,4.93059,101,4.91712,101,0.0825525,4.8345675,4.8488043,23.44187168
101.5,4.9299,101.5,4.91643,101.5,0.0832474,4.8331826,4.8474172,23.42845247
102,4.92932,102,4.9158,102,0.0840108,4.8317892,4.8460421,23.41505388
102.5,4.92868,102.5,4.91516,102.5,0.0847738,4.8303862,4.8447408,23.4019691
103,4.92822,103,4.9146,103,0.0856559,4.8289441,4.8433751,23.38838761
103.5,4.92739,103.5,4.91368,103.5,0.0861772,4.8275028,4.8420287,23.37490711
104,4.92707,104,4.91332,104,0.0871582,4.8261618,4.8407089,23.36204438
104.5,4.92616,104.5,4.91243,104.5,0.0876691,4.8247609,4.8393446,23.34868061
105,4.92523,105,4.91142,105,0.0880918,4.8233282,4.8380245,23.33538
105.5,4.92471,105.5,4.91079,105.5,0.0889601,4.8218299,4.8366451,23.32147996
106,4.92444,106,4.91046,106,0.0900587,4.8204013,4.8352552,23.30787045
106.5,4.92363,106.5,4.90964,106.5,0.0906019,4.8190381,4.8338173,23.29434974
107,4.92249,107,4.90842,107,0.0909134,4.8175066,4.832418,23.28020561
107.5,4.92221,107.5,4.90805,107.5,0.0920368,4.8160132,4.8310676,23.26648533
108,4.9214,108,4.90721,108,0.0926385,4.8145715,4.8296416,23.2526548
108.5,4.92107,108.5,4.90674,108.5,0.0936735,4.8130665,4.8282709,23.23878892
109,4.92008,109,4.90576,109,0.0941164,4.8116436,4.82683,23.22498568
