time,A3277,time,B3137,time,C2997,time,D2857,time,E2717,
99.9999,0.450431,99.9999,0.455809,99.9999,0.460748,99.9999,0.463224,99.9999,0.450965,
100.5,0.452607,100.5,0.455072,100.5,0.460891,100.5,0.463602,100.5,0.449477,
101,0.453639,101,0.456293,101,0.461754,101,0.46434,101,0.450823,
101.5,0.452242,101.5,0.457064,101.5,0.461448,101.5,0.464009,101.5,0.451159,
102,0.454124,102,0.45835,102,0.461773,102,0.464933,102,0.451486,
102.5,0.452994,102.5,0.457088,102.5,0.462824,102.5,0.465021,102.5,0.451671,
103,0.453507,103,0.458149,103,0.462013,103,0.465492,103,0.452675,
103.5,0.454183,103.5,0.459456,103.5,0.464012,103.5,0.466135,103.5,0.452817,
104,0.454675,104,0.459083,104,0.463628,104,0.466201,104,0.454044,
104.5,0.456701,104.5,0.45912,104.5,0.463104,104.5,0.467461,104.5,0.453391,
105,0.455165,105,0.459241,105,0.463388,105,0.467463,105,0.453123,
105.5,0.457039,105.5,0.45932,105.5,0.465532,105.5,0.467403,105.5,0.454375,
106,0.457037,106,0.460345,106,0.46556,106,0.467865,106,0.454361,
106.5,0.457555,106.5,0.460914,106.5,0.465934,106.5,0.46861,106.5,0.454641,
107,0.457606,107,0.460991,107,0.464892,107,0.468706,107,0.454532,
107.5,0.458167,107.5,0.460822,107.5,0.467025,107.5,0.468822,107.5,0.455577,
108,0.457638,108,0.461099,108,0.467284,108,0.469735,108,0.455681,
108.5,0.458735,108.5,0.462072,108.5,0.467981,108.5,0.469244,108.5,0.457677,
109,0.458351,109,0.461262,109,0.468146,109,0.469106,109,0.456481,
109.5,0.459354,109.5,0.461698,109.5,0.467287,109.5,0.470405,109.5,0.456617,
110,0.459287,110,0.463135,110,0.468506,110,0.470141,110,0.457561,
110.5,0.459886,110.5,0.463276,110.5,0.469345,110.5,0.47117,110.5,0.456806,
111,0.461223,111,0.463012,111,0.469638,111,0.470734,111,0.458917,
111.5,0.458997,111.5,0.464416,111.5,0.470047,111.5,0.471246,111.5,0.457919,
112,0.462032,112,0.463214,112,0.470435,112,0.472057,112,0.459673,
112.5,0.461139,112.5,0.465124,112.5,0.469772,112.5,0.472317,112.5,0.459166,
113,0.462479,113,0.465382,113,0.471557,113,0.472653,113,0.459826,
113.5,0.46207,113.5,0.465709,113.5,0.471014,113.5,0.472488,113.5,0.460463,
114,0.463026,114,0.465845,114,0.472518,114,0.473729,114,0.460729,
114.5,0.462937,114.5,0.466641,114.5,0.473262,114.5,0.473381,114.5,0.460639,
115,0.462989,115,0.467511,115,0.473005,115,0.473988,115,0.46119,
115.5,0.464548,115.5,0.468602,115.5,0.47344,115.5,0.47461,115.5,0.46286,
116,0.463929,116,0.467957,116,0.473623,116,0.474354,116,0.462606,
116.5,0.465415,116.5,0.467688,116.5,0.475244,116.5,0.474881,116.5,0.46341,
117,0.465318,117,0.468124,117,0.474264,117,0.475488,117,0.463329,
117.5,0.46605,117.5,0.467598,117.5,0.474423,117.5,0.476655,117.5,0.464997,
118,0.467104,118,0.469317,118,0.474917,118,0.475247,118,0.465287,
118.5,0.467124,118.5,0.47132,118.5,0.47635,118.5,0.476108,118.5,0.464546,
119,0.466169,119,0.470327,119,0.476093,119,0.477033,119,0.465197,
119.5,0.466998,119.5,0.470245,119.5,0.476999,119.5,0.476883,119.5,0.466392,
120,0.46795,120,0.470891,120,0.475378,120,0.477995,120,0.465918,
120.5,0.468347,120.5,0.47154,120.5,0.477036,120.5,0.478072,120.5,0.466368,
121,0.469444,121,0.471685,121,0.47814,121,0.478368,121,0.466094,
121.5,0.469143,121.5,0.472952,121.5,0.477585,121.5,0.477979,121.5,0.467804,
122,0.46935,122,0.473807,122,0.478105,122,0.477859,122,0.468053,
122.5,0.470297,122.5,0.47196,122.5,0.477841,122.5,0.479867,122.5,0.467463,
123,0.470108,123,0.47526,123,0.478598,123,0.479483,123,0.469051,
123.5,0.470809,123.5,0.473875,123.5,0.479749,123.5,0.480159,123.5,0.469239,
124,0.471739,124,0.473673,124,0.479677,124,0.481095,124,0.46925,
124.5,0.470753,124.5,0.475507,124.5,0.481274,124.5,0.480829,124.5,0.469237,
125,0.470653,125,0.475186,125,0.481034,125,0.481933,125,0.471669,
125.5,0.473592,125.5,0.474909,125.5,0.481849,125.5,0.48322,125.5,0.469698,
126,0.473591,126,0.475876,126,0.481575,126,0.483173,126,0.471822,
126.5,0.474683,126.5,0.476026,126.5,0.484163,126.5,0.48169,126.5,0.472901,
127,0.474677,127,0.47636,127,0.483325,127,0.482078,127,0.47162,
127.5,0.476058,127.5,0.476885,127.5,0.482764,127.5,0.483213,127.5,0.471259,
128,0.474935,128,0.47707,128,0.483421,128,0.483166,128,0.472582,
128.5,0.474389,128.5,0.478905,128.5,0.483859,128.5,0.483969,128.5,0.472526,
129,0.476022,129,0.479351,129,0.485189,129,0.485067,129,0.472346,
129.5,0.475586,129.5,0.479737,129.5,0.485262,129.5,0.484033,129.5,0.475619,
130,0.476869,130,0.480487,130,0.486397,130,0.484673,130,0.474179,
130.5,0.477206,130.5,0.479675,130.5,0.486282,130.5,0.486114,130.5,0.475188,
131,0.477599,131,0.481643,131,0.486766,131,0.485199,131,0.4757,
131.5,0.478741,131.5,0.480273,131.5,0.486088,131.5,0.486388,131.5,0.475438,
132,0.478687,132,0.481745,132,0.487989,132,0.487202,132,0.476523,
132.5,0.479544,132.5,0.48145,132.5,0.487706,132.5,0.486224,132.5,0.476444,
133,0.478474,133,0.482688,133,0.48795,133,0.486779,133,0.476976,
133.5,0.480085,133.5,0.483609,133.5,0.48944,133.5,0.488762,133.5,0.477772,
134,0.480157,134,0.484879,134,0.488626,134,0.487549,134,0.478599,
134.5,0.481601,134.5,0.483676,134.5,0.49037,134.5,0.488321,134.5,0.478679,
135,0.48267,135,0.484231,135,0.490292,135,0.489725,135,0.479867,
135.5,0.482081,135.5,0.48465,135.5,0.491641,135.5,0.489912,135.5,0.478855,
136,0.483337,136,0.485708,136,0.491419,136,0.490044,136,0.480499,
136.5,0.48352,136.5,0.484251,136.5,0.491865,136.5,0.490257,136.5,0.479994,
137,0.484963,137,0.486978,137,0.492281,137,0.491357,137,0.481907,
137.5,0.483573,137.5,0.486301,137.5,0.492513,137.5,0.491122,137.5,0.481046,
138,0.484965,138,0.488179,138,0.492971,138,0.491575,138,0.480529,
138.5,0.484618,138.5,0.487825,138.5,0.493777,138.5,0.491574,138.5,0.482859,
139,0.484701,139,0.488763,139,0.493844,139,0.49307,139,0.482361,
139.5,0.486239,139.5,0.488866,139.5,0.493551,139.5,0.493486,139.5,0.482527,
140,0.486169,140,0.488205,140,0.494924,140,0.492465,140,0.484432,
140.5,0.486911,140.5,0.488538,140.5,0.49647,140.5,0.493156,140.5,0.483977,
141,0.487399,141,0.488942,141,0.495303,141,0.493551,141,0.483838,
141.5,0.487174,141.5,0.489936,141.5,0.495306,141.5,0.493668,141.5,0.485273,
142,0.488202,142,0.490385,142,0.49673,142,0.494724,142,0.485693,
142.5,0.488592,142.5,0.491276,142.5,0.497947,142.5,0.495913,142.5,0.48651,
