
time,A3624,time,B1464,
291,109.571,291,40.1294,
291.5,109.588,291.5,40.129,
292,109.605,292,40.1284,
292.5,109.622,292.5,40.1281,
293,109.639,293,40.1278,
293.5,109.656,293.5,40.1273,
294,109.673,294,40.1269,
294.5,109.69,294.5,40.1265,
295,109.707,295,40.1261,
295.5,109.724,295.5,40.1257,
296,109.741,296,40.1253,
296.5,109.759,296.5,40.125,
297,109.776,297,40.1246,
297.5,109.793,297.5,40.1242,
298,109.81,298,40.1237,
298.5,109.827,298.5,40.1236,
299,109.844,299,40.1231,
299.5,109.861,299.5,40.1228,
300,109.878,300,40.1223,
300,109.878,300,40.1223,
