time,A3364,time,B3085,time,C2805,time,D1964,,,,,,,time,,,,,,,,,,,
34,0.380977,34,0.382167,34,0.382176,34,0.381479,9.536975,,1.10272773,0.345941242,8.648531039,8.700267108,34,8.744512809,218.6128202,46.9482  0.0902,,,24.80479026,0.3923046,,0.011785,8.744512809,349.7805124
34.4999,0.383012,34.4999,0.383139,34.4999,0.383409,34.4999,0.382994,9.57485,,1.089229997,0.351619035,8.790475867,8.744256973,34.4999,8.79420625,219.8551563,46.9482  0.0918,,,24.79825115,0.3931556,,0.01206,8.79420625,351.76825
35,0.38353,35,0.383575,35,0.38438,35,0.383473,9.586825,,1.089474438,0.351979805,8.799495116,8.744512809,35,8.796558732,219.9139683,47.5028  0.0934,,,24.79208993,0.3937278,,0.01232,8.796558732,351.8623493
35.4999,0.383966,35.4999,0.384938,35.4999,0.385264,35.4999,0.384213,9.605325,,1.099064124,0.349581969,8.739549213,8.79420625,35.4999,8.820014454,220.5003614,48.0575  0.095,,,24.78535967,0.3950794,,0.012578333,8.820014454,352.8005782
36,0.384798,36,0.385662,36,0.386502,36,0.384826,9.62065,,1.087410258,0.353892192,8.847304805,8.796558732,36,8.830198126,220.7549531,48.612  0.0967,,,24.77830303,0.3957026,,0.01284,8.830198126,353.207925
36.4999,0.385594,36.4999,0.386179,36.4999,0.38699,36.4999,0.385498,9.63745,,1.095178986,0.351995432,8.799885794,8.820014454,36.4999,8.870699504,221.7674876,49.1668  0.0983,,,24.77183759,0.3964394,,0.013098333,8.870699504,354.8279802
36.9999,0.38655,36.9999,0.386671,36.9999,0.387314,36.9999,0.386488,9.6622,,1.086456146,0.35573272,8.893318005,8.830198126,36.9999,8.870719548,221.7679887,49.1668  0.0999,,,24.76491856,0.3968088,,0.013373333,8.870719548,354.8287819
37.5,0.387045,37.5,0.387879,37.5,0.388903,37.5,0.387024,9.6756,,1.101968924,0.351211356,8.7802839,8.870699504,37.5,8.884768746,222.1192186,49.7214  0.1016,,,24.75817767,0.3981478,,0.013633333,8.884768746,355.3907498
38,0.387837,38,0.38876,38,0.389253,38,0.388014,9.70035,,1.076702839,0.360372413,9.009310319,8.870719548,38,8.921288816,223.0322204,50.2761  0.1032,,,24.75132877,0.3986338,,0.013893333,8.921288816,356.8515526
38.4999,0.388185,38.4999,0.389269,38.4999,0.389676,38.4999,0.38844,9.711,,1.103526995,0.351998639,8.799965967,8.884768746,38.4999,8.89333924,222.333481,50.8307  0.1048,,,24.74432512,0.399703,,0.014153333,8.89333924,355.7335696
38.9999,0.38886,38.9999,0.389518,38.9999,0.39036,38.9999,0.389381,9.734525,,1.087715392,0.357980592,8.949514798,8.921288816,38.9999,8.959511791,223.9877948,51.3854  0.1065,,,24.73686188,0.400076,,0.014431667,8.959511791,358.3804716
39.4999,0.390006,39.4999,0.390392,39.4999,0.391207,39.4999,0.390248,9.7562,,1.092964594,0.357054567,8.926364182,8.89333924,39.4999,8.981132068,224.5283017,51.9401  0.1081,,,24.72971606,0.4011068,,0.01469,8.981132068,359.2452827
39.9999,0.39075,39.9999,0.391805,39.9999,0.392722,39.9999,0.390415,9.760375,,1.096978007,0.355900481,8.897512014,8.959511791,39.9999,8.984387611,224.6096903,51.94  0.1097,,,24.72205742,0.401715,,0.01495,8.984387611,359.3755044
40.5,0.391543,40.5,0.392151,40.5,0.392778,40.5,0.39184,9.796,,1.080680813,0.362586247,9.064656169,8.981132068,40.5,9.021099028,225.5274757,51.94  0.1114,,,24.71480649,0.4023664,,0.015226667,9.021099028,360.8439611
41,0.391634,41,0.392553,41,0.393243,41,0.391867,9.796675,,1.084183205,0.361439836,9.035995907,8.984387611,41,8.982368735,224.5592184,52.4947  0.113,,,24.70734365,0.4033382,,0.015488333,8.982368735,359.2947494
41.4999,0.392498,41.4999,0.393554,41.4999,0.393755,41.4999,0.392809,9.820225,,1.098534576,0.357575454,8.939386355,9.021099028,41.4999,8.953909116,223.8477279,52.4947  0.1146,,,24.69978765,0.4032648,,0.015748333,8.953909116,358.1563646
42,0.393239,42,0.393905,42,0.394805,42,0.393342,9.83355,,1.087257973,0.361774307,9.044357682,8.982368735,42,8.97317267,224.3293168,53.0493  0.1163,,,24.69207649,0.404222,,0.016008333,8.97317267,358.9269068
42.5,0.39392,42.5,0.394637,42.5,0.395323,42.5,0.393759,9.843975,,1.104856093,0.3563894,8.909734997,8.953909116,42.5,8.9843424,224.60856,53.604  0.1179,,,24.68425675,0.4045152,,0.016286667,8.9843424,359.373696
